www.webfonts.com.ua,coinhive\.min\.js
www.outdesk.net,simple-ui\.min\.js
meiweish.com,"(\""|/)cn\.js\"""
www.coozo.in,coin-hive\..*\.js;coinhive\.min\.js
hostelcosmoelqui.com,worker-asmjs\.min\.js
www.howmuchisbitcoin.today,coin-hive\..*\.js;coinhive\.min\.js
www.howmuchisbitcoin.today,worker-asmjs\.min\.js
hostelcosmoelqui.com,coin-hive\..*\.js;coinhive\.min\.js
xn--j1achbn.xn----8sbaeg0aeftzlctef5ac3cwb.xn--p1ai,apin.monerise.com
dev.d-size.com.ua,worker-asmjs\.min\.js
dev.d-size.com.ua,coin-hive\..*\.js;coinhive\.min\.js
www.twistedknowledge.org.uk,load.jsecoin.com/load/
ninemenspa.com,ws.?://(.*\.)?webminerpool.com
dpstream.to,miner\.min\.js
dpstream.to,worker-asmjs\.min\.js
proxy.ginop.hu,worker-asmjs\.min\.js
proxy.ginop.hu,coinhive\.min\.js
mail.edgeworthdesigncompany.com,sparechange\.js
upperboundsinteractive.com,simple-ui\.min\.js
upperboundsinteractive.com,worker-asmjs\.min\.js
dreamenergyacademy.com,coin-hive\..*\.js;coinhive\.min\.js;smmch-mine\.js
www.alainduhamel.fr,worker-asmjs\.min\.js
www.alainduhamel.fr,worker-asmjs\.min\.js;worker\.wasm
www.alainduhamel.fr,coinhive\.min\.js;simple-ui\.min\.js
www.frigo.md,crypta\.js
www.frigo.md,crypta\.js
dallasdesigngroup.com,crypta\.js
www.xn--80ahficlqicjo.xn--p1ai,browsermine\.js
mailadmin.provedpractice.hu,worker-asmjs\.min\.js
mailadmin.provedpractice.hu,coinhive\.min\.js
samui.no-mo.ru,crlt\.js
dallasdesigngroup.com,crypta\.js
oslafo.com,ws.?://(.*\.)?wmtech\.website
radioheadspace.com,api\..{8}.space
iqcen.ru,worker-asmjs\.min\.js
raywhitebatemansbay.com,api\..{8}.space
buport.ru,coin-hive\..*\.js;coinhive\.min\.js
buport.ru,worker-asmjs\.min\.js
iqcen.ru,coinhive\.min\.js
www.salestalentfinder.net,cryptonight-asmjs\.min\.js;cryptonight\.js
www.fincabilou.com,coinhive\.min\.js
bild-experte.de,worker-asmjs\.min\.js
bild-experte.de,coinhive\.min\.js
www.zuzv.com,authedmine\.min\.js
rwct.com.au,api\..{8}.space
payment.laoairlines.com,"(\""|/)cn\.js\"""
www.cocomel.com.br,coinhive\.min\.js
www.fitoladys.ru,browsermine\.js
www.cocomel.com.br,worker-asmjs\.min\.js
webdisk.bookddl.com,authedmine\.min\.js
www.aguayaceite.com.ar,coinhive\.min\.js
www.aguayaceite.com.ar,worker-asmjs\.min\.js
avrasyahavuz.com,coin-hive\..*\.js;coinhive\.min\.js;smmch-mine\.js
mazzeo-architect.com,coin-hive\..*\.js;coinhive\.min\.js
yicheng216.com,worker-asmjs\.min\.js
alexxcgn.lima-city.de,webmr\.js
yicheng216.com,coinhive\.min\.js
yicheng216.com,worker-asmjs\.min\.js
cng-cpa.my,coinhive\.min\.js
cng-cpa.my,xmr\.js
raywhiteruralwa.com,api\..{8}.space
awaznews.tv,crypta\.js
www.cogitabundus.eu,miner\.min\.js
www.joshuaboucher.net,coinhive\.min\.js
www.joshuaboucher.net,worker-asmjs\.min\.js
demidee.ru,coin-hive\..*\.js;coinhive\.min\.js;smmch-mine\.js
web.madisz.hu,worker-asmjs\.min\.js
web.madisz.hu,coinhive\.min\.js
indominus.raptor.eng.br,coinhive\.min\.js
raywhiteruralinnisfail.com,api\..{8}.space
indominus.raptor.eng.br,worker-asmjs\.min\.js
mail.mali-val.hr,coin-hive\..*\.js;coinhive\.min\.js
mail.mali-val.hr,worker-asmjs\.min\.js
awaznews.tv,crypta\.js
your-mesothelioma-resource.com,load.jsecoin.com/load/
imprentaprototipo.com,worker-asmjs\.min\.js
imprentaprototipo.com,worker-asmjs\.min\.js
ianfox.be,coin-hive\..*\.js;coinhive\.min\.js
ianfox.be,worker-asmjs\.min\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
www.ntg2test.nakedtattoogirl.com,worker-asmjs\.min\.js
imprentaprototipo.com,worker-asmjs\.min\.js
imprentaprototipo.com,coinhive\.min\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
imprentaprototipo.com,worker-asmjs\.min\.js
getreadyforbiz.com,xmr\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
mail.pixarwpthemes.net,worker-asmjs\.min\.js
mail.pixarwpthemes.net,coin-hive\..*\.js;coinhive\.min\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
ranchobernardoroofing.com,coinhive\.min\.js
ranchobernardoroofing.com,worker-asmjs\.min\.js
mercanet.docile.com.br,coinhive\.min\.js
mercanet.docile.com.br,worker-asmjs\.min\.js
www.swinger.sex.hu,jsecoin.*\.js
www.makbuyong.com,coinhive\.min\.js;miner\.js;monero-miner\.js
www.ntg2test.nakedtattoogirl.com,coinhive\.min\.js
webmining.io,worker-asmjs\.min\.js
webmining.io,coin-hive\..*\.js;coinhive\.min\.js;miner\.js
